AssetID,Brand,ModelNumber,SerialNumber,Description,DateOfPurchase,DateAdded,DateModified,ChangeHistory,Notes,IsMissing,IsOOC,IsDegraded,IsDisposed,IsBulk,Quantity,MaintenanceLogs,DepartmentCode,DefaultLocation,CurrentLocation
BULK-0001,OEM,18650,,18650 Battery,,2026-06-25T00:00:00,,,,False,False,False,False,True,8,,AX,Store,
BULK-0002,OEM,Ethercon Bong,,Ethercon Bong,,2026-06-25T00:00:00,,,,False,False,False,False,True,20,,AX,Store,
C1000#01,APC,Smart UPS C1000,AS1605142056,1000VA Sinewave UPS Battery Backup,,2026-06-25T00:00:00,,,,False,False,False,False,False,1,"[{""id"":""4a8a15da10140d1cabe75853"",""date"":""2026/06/02"",""user"":""emily"",""description"":""Passed to Zubai"",""type"":""Fault"",""cost"":"""",""changes"":[],""source"":{}}]",AX,Store,
C1000#02,APC,Smart UPS C1000,AS1434123789,1000VA Sinewave UPS Battery Backup,,2026-06-25T00:00:00,,,,False,False,False,False,False,1,"[{""id"":""f697f9eb395809770692475b"",""date"":""2025/04/01"",""user"":""emily"",""description"":""batt checked OK"",""type"":""General"",""cost"":"""",""changes"":[],""source"":{}}]",AX,E6L #01,
C1000#03,APC,Smart UPS C1000,AS1609240291,1000VA Sinewave UPS Battery Backup,,2026-06-25T00:00:00,,,,False,False,False,False,False,1,"[{""id"":""a8dfeff12a5db2054f14e086"",""date"":""2025/04/01"",""user"":""emily"",""description"":""batt checked OK"",""type"":""General"",""cost"":"""",""changes"":[],""source"":{}}]",AX,E6L #01,
C1000#04,APC,Smart UPS C1000,AS1605142046,1000VA Sinewave UPS Battery Backup,,2026-06-25T00:00:00,,,,False,False,False,False,False,1,"[{""id"":""b705fcc60737115de40563ed"",""date"":""2025/04/01"",""user"":""emily"",""description"":""batt checked OK"",""type"":""General"",""cost"":"""",""changes"":[],""source"":{}}]",AX,E6L #02,
C1000#05,APC,Smart UPS C1000,AS1434123776,1000VA Sinewave UPS Battery Backup,,2026-06-25T00:00:00,,,,False,False,False,False,False,1,"[{""id"":""7dc68342905f4682e01b5836"",""date"":""2025/04/01"",""user"":""emily"",""description"":""batt checked OK"",""type"":""General"",""cost"":"""",""changes"":[],""source"":{}}]",AX,E6L #02,
C1000#06,APC,Smart UPS C1000,AS1434113779,1000VA Sinewave UPS Battery Backup,,2026-06-25T00:00:00,,,,False,False,False,False,False,1,"[{""id"":""d6913d1ed268a69b1c6630f5"",""date"":""2025/04/01"",""user"":""emily"",""description"":""Battery changed"",""type"":""Preventative maintenance"",""cost"":"""",""changes"":[],""source"":{}}]",AX,Store,
C1000#07,APC,Smart UPS C1000,AS1434113782,1000VA Sinewave UPS Battery Backup,,2026-06-25T00:00:00,,,,False,False,False,False,False,1,"[{""id"":""b4796dc44d00064dbd743b4f"",""date"":""2026/06/02"",""user"":""emily"",""description"":""Passed to Zubai"",""type"":""Fault"",""cost"":"""",""changes"":[],""source"":{}}]",AX,Store,
C1000#08,APC,Smart UPS C1000,AS1434113776,1000VA Sinewave UPS Battery Backup,,2026-06-25T00:00:00,,,,False,False,False,False,False,1,"[{""id"":""d77f24f97c0f2d57be82e585"",""date"":""2025/04/01"",""user"":""emily"",""description"":""Battery changed"",""type"":""Preventative maintenance"",""cost"":"""",""changes"":[],""source"":{}}]",AX,Store,
