AssetID,Brand,ModelNumber,SerialNumber,Description,IsMissing,IsOOC,IsDegraded,IsDisposed,IsBulk,Quantity,MaintenanceLogs,DepartmentCode,DefaultLocation,CurrentLocation
IPAD#01,Apple,iPad,YVTP9HPX47,(10th Generation),False,False,False,False,False,1,,AX,Store,Store
IPAD#02,Apple,iPad,JX9KXKKPF4,(10th Generation),False,False,False,False,False,1,"[{""date"":""2026/04/15"",""user"":""bnjm2000"",""description"":""Updated to iPadOS 26.4.1"",""type"":""Update"",""cost"":"""",""changes"":[],""source"":{}}]",AX,Store,
IPAD#03,Apple,iPad,TFQYL2K0JW,(10th Generation),False,False,False,False,False,1,"[{""date"":""2026/03/04"",""user"":""bnjm2000"",""description"":""Found without 3.5mm adapter. Replaced (110: Louis Vuitton Spring Summer Trunk Show 2026 @ Japanese Garden)"",""type"":""Fault"",""cost"":"""",""changes"":[],""source"":{}},{""date"":""2026/04/15"",""user"":""bnjm2000"",""description"":""Updated to iPadOS 26.4.1"",""type"":""Update"",""cost"":"""",""changes"":[],""source"":{}}]",AX,Store,
C451B#01,AKG,C451B,VI0803-107486,Cardioid condenser microphone,False,False,False,False,False,1,,AX,Store,Store
C451B#02,AKG,C451B,VI0803-106725,Cardioid condenser microphone,False,False,False,False,False,1,,AX,Store,Store
C451B#03,AKG,C451B,VI0803-106979,Cardioid condenser microphone,False,False,False,False,False,1,,AX,Store,
C451B#04,AKG,C451B,VI0803-106596,Cardioid condenser microphone,False,False,False,False,False,1,,AX,Store,Store
C451B#05,AKG,C451B,VI0803-106086,Cardioid condenser microphone,False,False,False,False,False,1,,AX,Store,Store
C451B#06,AKG,C451B,,Cardioid condenser microphone,False,False,False,False,False,1,,AX,Store,Store
C451B#07,AKG,C451B,,Cardioid condenser microphone,False,False,False,False,False,1,,AX,Store,
C451B#08,AKG,C451B,,Cardioid condenser microphone,False,False,False,False,False,1,,AX,Store,Store
C451B#09,AKG,C451B,,Cardioid condenser microphone,False,False,False,False,False,1,,AX,Store,Store
C451B#10,AKG,C451B,,Cardioid condenser microphone,False,False,False,False,False,1,,AX,Store,Store
